Date,Time,Julian,Precip,Pyranometer,PAR,Temp,RH,Wind,WindDir,BAR
1-Jan-2016,0:15,1,0.000,0.000,0.005,2.8,76,0.54,261.4,1015
1-Jan-2016,0:30,1,0.000,0.000,0.000,2.6,76,0.61,236.7,1015
1-Jan-2016,0:45,1,0.000,0.000,0.000,2.6,76,0.67,232.7,1015
1-Jan-2016,1:00,1,0.000,0.000,0.005,2.5,76,0.58,213.1,1015
1-Jan-2016,1:15,1,0.000,0.000,0.005,2.5,77,0.51,208.2,1014
1-Jan-2016,1:30,1,0.000,0.000,0.015,2.3,78,1.05,188.2,1014
1-Jan-2016,1:45,1,0.000,0.000,0.000,2.2,78,0.70,190.9,1014
1-Jan-2016,2:00,1,0.000,0.000,0.000,2.1,78,0.34,209.2,1014
1-Jan-2016,2:15,1,0.000,0.000,0.020,1.9,79,0.62,232.0,1014
1-Jan-2016,2:30,1,0.000,0.000,0.000,2.0,79,0.82,224.6,1014
1-Jan-2016,2:45,1,0.000,0.000,0.000,2.0,78,0.81,219.7,1014
1-Jan-2016,3:00,1,0.000,0.000,0.000,2.0,78,1.02,220.9,1014
1-Jan-2016,3:15,1,0.000,0.000,0.005,2.0,78,0.97,205.3,1014
1-Jan-2016,3:30,1,0.000,0.000,0.000,2.0,78,0.71,207.2,1014
1-Jan-2016,3:45,1,0.000,0.000,0.000,1.9,79,0.84,221.2,1014
1-Jan-2016,4:00,1,0.000,0.000,0.000,1.9,79,0.85,215.8,1014
1-Jan-2016,4:15,1,0.000,0.000,0.005,1.8,79,0.57,218.9,1014
1-Jan-2016,4:30,1,0.000,0.000,0.010,1.8,79,0.68,193.7,1014
1-Jan-2016,4:45,1,0.000,0.000,0.000,1.8,78,0.96,209.1,1014
1-Jan-2016,5:00,1,0.000,0.000,0.000,1.7,77,0.68,234.4,1014
1-Jan-2016,5:15,1,0.000,0.000,0.000,1.5,78,0.58,252.5,1014
1-Jan-2016,5:30,1,0.000,0.000,0.005,1.6,77,0.77,246.5,1014
1-Jan-2016,5:45,1,0.000,0.000,0.000,1.6,77,0.48,223.1,1014
1-Jan-2016,6:00,1,0.000,0.000,0.005,1.7,76,0.61,238.8,1014
1-Jan-2016,6:15,1,0.000,0.000,0.000,1.7,76,0.31,236.8,1014
1-Jan-2016,6:30,1,0.000,0.000,0.000,1.7,76,0.70,224.2,1014
1-Jan-2016,6:45,1,0.000,0.000,0.005,1.7,76,0.47,207.6,1014
1-Jan-2016,7:00,1,0.000,0.000,0.631,1.7,76,0.29,206.6,1014
1-Jan-2016,7:15,1,0.000,0.002,5.279,1.6,76,0.81,220.8,1014
1-Jan-2016,7:30,1,0.000,0.011,21.600,1.6,75,0.76,224.9,1014
1-Jan-2016,7:45,1,0.000,0.032,55.640,1.7,74,0.66,227.3,1014
1-Jan-2016,8:00,1,0.000,0.048,84.100,1.8,74,0.63,179.6,1014
1-Jan-2016,8:15,1,0.000,0.064,119.300,1.9,74,0.92,222.3,1014
1-Jan-2016,8:30,1,0.000,0.066,131.000,2.3,70,1.48,228.0,1014
1-Jan-2016,8:45,1,0.000,0.055,116.600,2.5,69,1.24,231.3,1014
1-Jan-2016,9:00,1,0.000,0.087,176.800,2.6,68,1.31,225.2,1014
1-Jan-2016,9:15,1,0.000,0.093,191.300,2.7,68,1.49,225.4,1014
1-Jan-2016,9:30,1,0.000,0.108,220.200,2.9,67,1.41,221.2,1014
1-Jan-2016,9:45,1,0.000,0.132,271.700,3.0,66,1.74,230.5,1014
1-Jan-2016,10:00,1,0.000,0.177,358.100,3.3,65,1.76,233.6,1014
1-Jan-2016,10:15,1,0.000,0.244,470.100,3.8,62,1.96,248.5,1014
1-Jan-2016,10:30,1,0.000,0.436,777.000,4.3,60,2.35,248.0,1014
1-Jan-2016,10:45,1,0.000,0.445,799.000,4.7,58,2.68,245.2,1013
1-Jan-2016,11:00,1,0.000,0.477,858.000,4.9,56,2.26,239.9,1013
1-Jan-2016,11:15,1,0.000,0.425,780.000,4.8,57,2.49,252.3,1013
1-Jan-2016,11:30,1,0.000,0.358,677.900,5.0,55,2.34,244.0,1013
1-Jan-2016,11:45,1,0.000,0.251,500.500,4.6,55,2.27,243.5,1013
1-Jan-2016,12:00,1,0.000,0.170,349.600,4.6,56,2.04,246.6,1012
1-Jan-2016,12:15,1,0.000,0.124,258.000,4.3,56,2.36,240.5,1012
1-Jan-2016,12:30,1,0.000,0.112,235.900,4.2,56,1.42,249.9,1012
1-Jan-2016,12:45,1,0.000,0.106,224.000,4.3,57,1.83,241.3,1012
1-Jan-2016,13:00,1,0.000,0.167,343.100,4.3,57,1.93,245.5,1012
1-Jan-2016,13:15,1,0.000,0.150,312.000,4.4,56,1.99,239.9,1012
1-Jan-2016,13:30,1,0.000,0.106,223.600,4.3,56,2.18,251.8,1012
1-Jan-2016,13:45,1,0.000,0.074,159.300,4.1,56,1.44,237.9,1011
1-Jan-2016,14:00,1,0.000,0.064,137.200,4.1,56,1.36,254.6,1011
1-Jan-2016,14:15,1,0.000,0.056,118.800,4.0,57,1.19,254.5,1011
1-Jan-2016,14:30,1,0.000,0.051,109.200,4.0,57,1.20,243.3,1011
1-Jan-2016,14:45,1,0.000,0.152,277.900,4.1,56,1.39,240.6,1011
1-Jan-2016,15:00,1,0.000,0.184,313.500,4.8,53,1.79,244.9,1011
1-Jan-2016,15:15,1,0.000,0.150,247.300,4.7,52,1.97,237.4,1011
1-Jan-2016,15:30,1,0.000,0.079,144.400,4.6,53,1.54,246.9,1011
1-Jan-2016,15:45,1,0.000,0.019,63.550,4.0,54,1.55,238.8,1011
1-Jan-2016,16:00,1,0.000,0.017,44.270,3.5,56,1.02,229.2,1011
1-Jan-2016,16:15,1,0.000,0.006,15.970,3.2,57,1.30,222.6,1011
1-Jan-2016,16:30,1,0.000,0.002,4.306,3.1,58,1.24,228.4,1011
1-Jan-2016,16:45,1,0.000,0.000,0.705,3.1,57,1.63,224.4,1011
1-Jan-2016,17:00,1,0.000,0.000,0.000,3.2,57,1.46,240.1,1011
1-Jan-2016,17:15,1,0.000,0.000,0.000,3.1,58,1.55,227.0,1011
1-Jan-2016,17:30,1,0.000,0.000,0.000,3.1,59,1.41,229.8,1011
1-Jan-2016,17:45,1,0.000,0.000,0.000,3.0,60,1.35,231.9,1011
1-Jan-2016,18:00,1,0.000,0.000,0.005,2.9,61,1.71,239.6,1011
1-Jan-2016,18:15,1,0.000,0.000,0.000,2.8,62,1.30,239.5,1011
1-Jan-2016,18:30,1,0.000,0.000,0.000,2.7,63,1.59,237.3,1011
1-Jan-2016,18:45,1,0.000,0.000,0.000,2.7,64,1.70,240.3,1011
1-Jan-2016,19:00,1,0.000,0.000,0.005,2.7,65,1.78,244.4,1011
1-Jan-2016,19:15,1,0.000,0.000,0.000,2.6,67,2.20,235.4,1011
1-Jan-2016,19:30,1,0.254,0.000,0.000,2.4,69,1.85,234.2,1011
1-Jan-2016,19:45,1,0.000,0.000,0.000,2.2,70,1.69,240.8,1011
1-Jan-2016,20:00,1,0.000,0.000,0.000,2.1,72,2.06,249.1,1011
1-Jan-2016,20:15,1,0.000,0.000,0.010,1.9,73,1.80,245.0,1011
1-Jan-2016,20:30,1,0.000,0.000,0.000,1.8,74,1.67,246.5,1011
1-Jan-2016,20:45,1,0.000,0.000,0.000,1.6,74,1.72,244.5,1011
1-Jan-2016,21:00,1,0.000,0.000,0.000,1.4,75,1.28,248.4,1011
1-Jan-2016,21:15,1,0.000,0.000,0.000,1.1,75,1.37,242.1,1011
1-Jan-2016,21:30,1,0.000,0.000,0.000,1.0,73,1.65,230.8,1011
1-Jan-2016,21:45,1,0.000,0.000,0.000,1.0,71,1.16,250.3,1011
1-Jan-2016,22:00,1,0.000,0.000,0.000,1.0,69,0.72,259.4,1011
1-Jan-2016,22:15,1,0.000,0.000,0.000,0.9,68,1.03,241.0,1011
1-Jan-2016,22:30,1,0.000,0.000,0.000,1.1,63,1.60,247.3,1011
1-Jan-2016,22:45,1,0.000,0.000,0.000,1.2,58,1.67,248.2,1011
1-Jan-2016,23:00,1,0.000,0.000,0.000,1.2,56,1.88,253.5,1011
1-Jan-2016,23:15,1,0.000,0.000,0.000,1.0,57,1.64,250.8,1011
1-Jan-2016,23:30,1,0.000,0.000,0.000,0.9,57,1.31,243.5,1011
1-Jan-2016,23:45,1,0.000,0.000,0.000,0.6,58,1.51,251.2,1011
1-Jan-2016,0:00,1,0.000,0.000,0.000,0.5,59,1.89,240.6,1011
2-Jan-2016,0:15,2,0.000,0.000,0.005,0.3,59,1.50,248.0,1012
2-Jan-2016,0:30,2,0.000,0.000,0.000,0.1,60,0.84,243.2,1012
2-Jan-2016,0:45,2,0.000,0.000,0.000,-0.1,61,1.08,245.2,1012
2-Jan-2016,1:00,2,0.000,0.000,0.000,-0.3,63,1.44,240.2,1012
2-Jan-2016,1:15,2,0.000,0.000,0.000,-0.5,64,1.16,240.7,1012
2-Jan-2016,1:30,2,0.000,0.000,0.000,-0.7,65,1.22,233.2,1012
2-Jan-2016,1:45,2,0.000,0.000,0.000,-0.8,66,1.52,233.2,1012
2-Jan-2016,2:00,2,0.000,0.000,0.000,-0.9,67,1.23,242.9,1012
2-Jan-2016,2:15,2,0.000,0.000,0.000,-0.9,66,1.61,244.0,1012
2-Jan-2016,2:30,2,0.000,0.000,0.000,-0.9,67,1.19,237.1,1012
2-Jan-2016,2:45,2,0.000,0.000,0.000,-1.1,67,0.87,225.9,1012
2-Jan-2016,3:00,2,0.000,0.000,0.000,-1.3,68,0.81,235.1,1012
2-Jan-2016,3:15,2,0.000,0.000,0.005,-1.4,69,1.66,246.9,1012
2-Jan-2016,3:30,2,0.000,0.000,0.000,-1.4,69,1.47,246.2,1012
2-Jan-2016,3:45,2,0.000,0.000,0.000,-1.5,69,1.09,255.9,1012
2-Jan-2016,4:00,2,0.000,0.000,0.000,-1.6,69,1.02,239.1,1012
2-Jan-2016,4:15,2,0.000,0.000,0.000,-1.7,70,1.54,247.7,1012
2-Jan-2016,4:30,2,0.000,0.000,0.005,-1.6,69,1.72,246.5,1012
2-Jan-2016,4:45,2,0.000,0.000,0.000,-1.6,69,1.67,250.8,1012
2-Jan-2016,5:00,2,0.000,0.000,0.000,-1.6,68,1.44,243.7,1012
2-Jan-2016,5:15,2,0.000,0.000,0.000,-1.6,68,1.44,244.0,1012
2-Jan-2016,5:30,2,0.000,0.000,0.000,-1.4,68,1.64,239.6,1012
2-Jan-2016,5:45,2,0.000,0.000,0.000,-1.3,67,1.57,249.4,1013
2-Jan-2016,6:00,2,0.000,0.000,0.000,-1.2,67,1.68,242.0,1013
2-Jan-2016,6:15,2,0.000,0.000,0.005,-1.2,67,1.51,242.8,1013
2-Jan-2016,6:30,2,0.000,0.000,0.005,-1.3,68,1.43,243.4,1013
2-Jan-2016,6:45,2,0.000,0.000,0.005,-1.4,68,1.15,236.3,1013
2-Jan-2016,7:00,2,0.000,0.001,1.154,-1.5,69,1.06,222.6,1013
2-Jan-2016,7:15,2,0.000,0.003,8.090,-1.8,70,0.71,222.4,1013
2-Jan-2016,7:30,2,0.000,0.011,25.060,-1.9,71,0.77,196.6,1013
2-Jan-2016,7:45,2,0.000,0.027,55.360,-1.8,72,0.79,191.1,1013
2-Jan-2016,8:00,2,0.000,0.030,74.400,-1.5,71,1.18,236.5,1013
2-Jan-2016,8:15,2,0.000,0.040,100.200,-1.2,69,1.12,235.9,1013
2-Jan-2016,8:30,2,0.000,0.077,157.600,-0.9,69,0.73,196.8,1013
2-Jan-2016,8:45,2,0.000,0.178,295.800,-0.3,67,0.85,177.5,1014
2-Jan-2016,9:00,2,0.000,0.241,398.300,0.9,63,1.19,187.7,1014
2-Jan-2016,9:15,2,0.000,0.263,446.300,1.4,60,1.26,227.6,1014
2-Jan-2016,9:30,2,0.000,0.294,507.000,1.6,59,2.21,249.4,1014
2-Jan-2016,9:45,2,0.000,0.324,564.600,1.7,59,2.07,250.4,1014
2-Jan-2016,10:00,2,0.000,0.348,612.200,2.1,57,1.79,252.2,1014
2-Jan-2016,10:15,2,0.000,0.375,666.800,2.5,55,1.68,270.6,1014
2-Jan-2016,10:30,2,0.000,0.306,569.600,2.3,54,2.37,288.5,1014
2-Jan-2016,10:45,2,0.000,0.357,653.900,2.2,54,2.26,271.6,1014
2-Jan-2016,11:00,2,0.000,0.445,802.000,2.6,53,2.28,279.7,1013
2-Jan-2016,11:15,2,0.000,0.439,796.000,2.7,52,2.46,268.5,1013
2-Jan-2016,11:30,2,0.000,0.444,806.000,2.7,51,2.89,255.4,1013
2-Jan-2016,11:45,2,0.000,0.433,792.000,3.1,51,1.79,263.0,1013
2-Jan-2016,12:00,2,0.000,0.447,813.000,3.2,50,2.52,287.7,1013
2-Jan-2016,12:15,2,0.000,0.451,818.000,3.2,49,2.38,268.1,1012
2-Jan-2016,12:30,2,0.000,0.434,790.000,3.7,48,1.80,257.5,1012
2-Jan-2016,12:45,2,0.000,0.421,765.000,3.4,49,2.81,290.5,1012
2-Jan-2016,13:00,2,0.000,0.407,739.000,3.3,49,3.00,295.5,1012
2-Jan-2016,13:15,2,0.000,0.387,702.000,3.3,48,3.56,297.1,1012
2-Jan-2016,13:30,2,0.000,0.367,662.100,3.4,48,2.57,283.0,1012
2-Jan-2016,13:45,2,0.000,0.346,621.200,3.6,47,2.83,276.2,1012
2-Jan-2016,14:00,2,0.000,0.288,518.400,3.5,47,2.63,294.3,1012
2-Jan-2016,14:15,2,0.000,0.259,468.300,3.7,47,1.49,267.8,1012
2-Jan-2016,14:30,2,0.000,0.270,470.000,3.8,46,2.17,264.0,1012
2-Jan-2016,14:45,2,0.000,0.220,377.400,3.7,46,2.00,285.3,1012
2-Jan-2016,15:00,2,0.000,0.170,291.000,3.8,46,1.46,255.9,1011
2-Jan-2016,15:15,2,0.000,0.153,248.300,3.8,47,1.36,276.9,1012
2-Jan-2016,15:30,2,0.000,0.099,168.100,3.4,47,2.07,285.2,1012
2-Jan-2016,15:45,2,0.000,0.039,88.400,2.9,48,1.60,270.4,1012
2-Jan-2016,16:00,2,0.000,0.018,50.740,2.5,50,0.97,241.4,1012
2-Jan-2016,16:15,2,0.000,0.010,25.300,2.2,51,1.15,260.8,1012
2-Jan-2016,16:30,2,0.000,0.004,8.600,2.0,52,1.09,247.0,1012
2-Jan-2016,16:45,2,0.000,0.001,1.401,1.7,53,1.06,242.6,1012
2-Jan-2016,17:00,2,0.000,0.000,0.005,1.4,54,1.22,229.6,1012
2-Jan-2016,17:15,2,0.000,0.000,0.000,1.3,54,1.11,256.6,1012
2-Jan-2016,17:30,2,0.000,0.000,0.000,1.0,55,0.60,273.3,1012
2-Jan-2016,17:45,2,0.000,0.000,0.000,0.6,57,0.48,273.0,1012
2-Jan-2016,18:00,2,0.000,0.000,0.000,0.2,58,0.43,256.3,1012
2-Jan-2016,18:15,2,0.000,0.000,0.000,-0.1,60,0.42,196.3,1013
2-Jan-2016,18:30,2,0.000,0.000,0.000,-0.4,61,0.28,220.1,1013
2-Jan-2016,18:45,2,0.000,0.000,0.000,-0.9,63,0.20,140.3,1013
2-Jan-2016,19:00,2,0.000,0.000,0.000,-1.6,67,0.47,94.8,1013
2-Jan-2016,19:15,2,0.000,0.000,0.000,-2.0,69,0.80,221.1,1013
2-Jan-2016,19:30,2,0.000,0.000,0.000,-0.6,63,0.88,210.4,1013
2-Jan-2016,19:45,2,0.000,0.000,0.000,-0.4,63,0.43,166.0,1013
2-Jan-2016,20:00,2,0.000,0.000,0.005,-1.1,68,0.66,110.4,1013
2-Jan-2016,20:15,2,0.000,0.000,0.000,-1.7,71,0.22,192.3,1013
2-Jan-2016,20:30,2,0.000,0.000,0.000,-1.6,72,0.20,179.8,1013
2-Jan-2016,20:45,2,0.000,0.000,0.000,-1.1,69,0.55,171.9,1013
2-Jan-2016,21:00,2,0.000,0.000,0.005,-0.4,66,0.83,158.1,1013
2-Jan-2016,21:15,2,0.000,0.000,0.000,-0.2,65,0.74,171.0,1013
2-Jan-2016,21:30,2,0.000,0.000,0.000,0.0,64,0.79,178.2,1013
2-Jan-2016,21:45,2,0.000,0.000,0.000,0.2,64,0.70,181.4,1012
2-Jan-2016,22:00,2,0.000,0.000,0.000,0.3,64,1.06,200.6,1012
2-Jan-2016,22:15,2,0.000,0.000,0.000,0.5,62,1.28,199.8,1012
2-Jan-2016,22:30,2,0.000,0.000,0.000,0.5,62,0.85,171.8,1012
2-Jan-2016,22:45,2,0.000,0.000,0.000,0.3,63,0.67,175.0,1011
2-Jan-2016,23:00,2,0.000,0.000,0.000,0.1,64,0.80,184.0,1011
2-Jan-2016,23:15,2,0.000,0.000,0.000,0.0,64,0.98,196.5,1011
2-Jan-2016,23:30,2,0.000,0.000,0.000,0.0,64,0.81,190.8,1011
2-Jan-2016,23:45,2,0.000,0.000,0.000,0.1,64,1.08,213.0,1011
2-Jan-2016,0:00,2,0.000,0.000,0.000,0.3,63,1.09,192.8,1011
3-Jan-2016,0:15,3,0.000,0.000,0.000,0.4,63,1.04,193.1,1011
3-Jan-2016,0:30,3,0.000,0.000,0.000,0.4,64,1.06,216.1,1011
3-Jan-2016,0:45,3,0.000,0.000,0.000,0.5,63,1.39,201.6,1011
3-Jan-2016,1:00,3,0.000,0.000,0.000,0.7,62,1.34,220.6,1011
3-Jan-2016,1:15,3,0.000,0.000,0.000,0.7,63,1.25,198.8,1011
3-Jan-2016,1:30,3,0.000,0.000,0.000,0.6,63,1.00,211.2,1010
3-Jan-2016,1:45,3,0.000,0.000,0.000,0.6,63,1.02,207.4,1010
3-Jan-2016,2:00,3,0.000,0.000,0.000,0.6,63,1.32,201.3,1010
3-Jan-2016,2:15,3,0.000,0.000,0.000,0.5,64,1.17,196.3,1010
3-Jan-2016,2:30,3,0.000,0.000,0.000,0.5,65,1.25,197.0,1010
3-Jan-2016,2:45,3,0.000,0.000,0.000,0.5,65,1.16,184.7,1010
3-Jan-2016,3:00,3,0.000,0.000,0.000,0.4,65,1.07,184.5,1010
3-Jan-2016,3:15,3,0.000,0.000,0.000,0.4,66,0.96,184.6,1010
3-Jan-2016,3:30,3,0.000,0.000,0.000,0.3,66,0.76,173.8,1010
3-Jan-2016,3:45,3,0.000,0.000,0.000,0.2,66,0.88,173.9,1009
3-Jan-2016,4:00,3,0.000,0.000,0.000,0.2,66,1.63,192.8,1009
